NAME,PRODUCER,WINE,COUNTRY,REGION,TYPE,SUB_TYPE,VINTAGE_CONFIG,FIRST_VINTAGE
"Schieferkopf, Lieu Dit Buehl Riesling",Schieferkopf,Lieu Dit Buehl Riesling,France,Alsace,White,Still,seq,NA
"Schieferkopf, Riesling Grand Cru, Kastelberg",Schieferkopf,Riesling,France,Alsace,White,Still,seq,NA
"Schieferkopf, Pinot Gris",Schieferkopf,Pinot Gris,France,Alsace,White,Still,seq,NA
"Schieferkopf, Riesling Grand Cru, Altenberg de Bergheim",Schieferkopf,Riesling,France,Alsace,White,Still,seq,NA
"Schieferkopf, Sylvaner",Schieferkopf,Sylvaner,France,Alsace,White,Still,seq,NA
"Schieferkopf, Weibelsberg Riesling",Schieferkopf,Weibelsberg Riesling,France,Alsace,White,Still,seq,NA
"Hugel, Riesling Jubilee Grand Cru, Altenberg de Bergheim",Hugel,Riesling Jubilee,France,Alsace,White,Still,seq,NA
"Hugel, Riesling Selection de Grains Nobles Grand Cru, Altenberg de Bergheim",Hugel,Riesling Selection de Grains Nobles,France,Alsace,White,Still,seq,NA
"Hugel, Riesling Vendanges Tardives Grand Cru, Altenberg de Bergheim",Hugel,Riesling Vendanges Tardives,France,Alsace,White,Still,seq,NA
